A211#//#12345#//#Eyad Mahmoud Ali#//#0111212323#//#140000.000000
A253#//#90910#//#Sameh Lotfy Hassan#//#0102122236#//#168000.000000
A254#//#11112#//#Ashraf Kamal Said#//#0153233347#//#91000.000000
A255#//#22223#//#Hany Mostafa Ali#//#0114344458#//#150000.000000
A256#//#33334#//#Adel Refaat Mahmoud#//#0125455569#//#103000.000000
A257#//#44445#//#Ehab Fekry Soliman#//#0106566670#//#87000.000000
A258#//#55556#//#Osama Yasser Eid#//#0157677781#//#194000.000000
A259#//#66667#//#Maher Sabry Hassan#//#0118788892#//#76000.000000
A260#//#77778#//#Tarek Gamal Ali#//#0129899003#//#129000.000000
A261#//#88889#//#Waheed Salah Mahmoud#//#0101011124#//#68000.000000
A262#//#99990#//#Fouad Samir Nasser#//#0152122235#//#172000.000000
A263#//#12131#//#Hatem Ashour Fathy#//#0113233346#//#98000.000000
A264#//#23242#//#Moataz Farid Ali#//#0124344457#//#141000.000000
A265#//#34353#//#Ragab Sayed Hassan#//#0105455568#//#59000.000000
A266#//#45464#//#Alaa Magdy Eid#//#0156566679#//#186000.000000
A267#//#56575#//#Salah Zaki Mahmoud#//#0117677780#//#88000.000000
A268#//#67686#//#Hazem Adel Soliman#//#0128788891#//#115000.000000
A269#//#78797#//#Kareem Lotfy Ali#//#0109899002#//#97000.000000
A270#//#89808#//#Nabil Younes Hassan#//#0150900113#//#162000.000000
A271#//#90919#//#Samer Fathy Mahmoud#//#0112021224#//#74000.000000
A272#//#11120#//#Maged Saeed Ali#//#0123132335#//#133000.000000
A273#//#22231#//#Ibrahim Kamel Hassan#//#0104243446#//#89000.000000
A274#//#33342#//#Walid Refky Soliman#//#0155354557#//#176000.000000
A275#//#44453#//#Atef Shawky Eid#//#0116465668#//#92000.000000
A276#//#55564#//#Nour Eldin Mahmoud#//#0127576779#//#148000.000000
A277#//#66675#//#Sayed Abdelrahman#//#0108687880#//#61000.000000
A278#//#77786#//#Fares Emad Ali#//#0159798991#//#190000.000000
A279#//#88897#//#Yahia Mostafa Hassan#//#0110809002#//#84000.000000
A446#//#212225#//#Cristiano Ronaldo#//#022312155#//#40000000.000000
A281#//#2232#//#Mona Zaki Zakaria#//#01566458972#//#6300.000000
A282#//#5563#//#Kelian Mpape#//#066263225#//#320000.000000
A283#//#2323#//#Salma Zidan#//#01222222221#//#350000.000000
A284#//#2252#//#Mohamed Ali Basha#//#012223887#//#12000.000000
A285#//#2556#//#Israa Mohamed Sayed#//#0124688875#//#25000.000000
A286#//#1254#//#Basmallah Hamdy Saber#//#0102998645#//#18200.000000
A287#//#5644#//#Ahmed sabry Alaa#//#01522648879#//#25000.000000
